sample_id,1,2,3,4,5,6,7,8,9,10,11,12.13,14,15,16,17,18.3,19,20.28,21.33,22,23,24,25,26.29,27,31,32,34,35,36,37,38,39,40.71,41,42,43,44.47.65,45,46,48,49.69,50.53,51,52,54,55,56,57,58,59.62.75,60,61.70.74.76,63,64,66,67,68,72,73,77,78,79,80,81,82,83,84,85.116,86.97.109.119,87.125,88,89,90.101.113,91,92,93.1,94,95,96,98,99,102,103,104,105,106,107,108.124,110,111,112,114,115,117,118,120,121,122,123,126,127,128.166,129.138.163,130,131,132,133,134,135.151,136,137,139.14,141,142,143,144,145,146,147.149,148,150,152,153.168,154,155,156.157,158,159,160,161,162,164,165,167,169,170,171.173,172,174,175,176,177,178,179,180.193,181,182,183,184,185,186,187,188,189,190,191,192,194,195,196,197,198.199,200,201,202,203,205,206,207,208,209,sum
S655,1.937,0.19,1.012,0.648,0.07,0.35,0.139,1.096,0.158,0.052,0.047,0.131,0,0.335,0.101,0.096,0.204,0.025,0.209,0.161,0.096,0,0.007,0.026,0.043,0.016,0.222,0.057,0,0.006,0,0,0,0,0.166,0.029,0.085,0.009,0.777,0.05,0.015,0.054,0.374,0.058,0.005,2.085,0,0.002,0.153,0.001,0,0.016,0.091,1.773,0.021,0.301,0.445,0.002,0,0,0.003,0.006,0,0.01,0,0,0.403,0.207,1.107,0.422,1.026,1.406,0.001,0.04,3.915,0.407,0.853,0.014,0.008,3.755,0.022,0.001,1.394,0.072,0.016,0,0.799,0.001,0.135,0.116,2.936,0,0.001,0.053,0.002,0.064,2.247,0.001,0,0.026,0.04,0,0,0.215,1.74,0.138,0.065,0.817,0.03,0.192,0.7,0.437,0.153,0.067,0.3,0.001,0.004,0.146,0.002,0.224,1.74,0.001,0.004,0.006,1.323,0.021,0,0.128,0.194,0,0,0,0.004,0.099,0,0.046,0.001,0.057,0.032,0.003,0.077,0.007,0.024,0.049,0.024,0.063,0.091,0.005,0.001,0.057,0.002,0.005,0,0.094,0.001,0,0.014,0.001,0,0.006,0.002,0.004,0,0.009,0,0.002,0.001,0.008,0,0,0.001,0,0,44.896
S656,1.413,0.139,0.709,0.441,0.055,0.245,0.099,0.781,0.103,0.036,0.031,0.096,0,0.241,0.064,0.066,0.122,0.021,0.132,0.096,0.056,0,0.003,0.016,0.029,0.011,0.137,0.036,0,0.004,0,0.033,0,0,0.096,0.013,0.056,0.002,0.506,0.026,0.008,0.043,0.24,0.031,0.003,1.354,0.001,0,0.106,0,0,0.01,0.052,1.221,0.011,0.179,0.283,0.003,0,0,0,0.005,0,0.01,0,0,0.305,0.132,0.864,0.336,0.859,1.108,0.003,0.02,3.011,0.334,0.646,0.008,0.008,2.852,0.019,0.002,1.1,0.057,0.008,0,0.59,0,0.109,0.101,2.543,0,0,0.047,0.013,0.041,1.81,0,0,0.02,0.026,0,0,0.142,1.227,0.092,0.047,0.63,0.024,0.14,0.544,0.312,0.103,0.054,0.218,0,0.004,0.112,0.002,0.17,1.291,0,0.002,0.004,0.967,0.015,0,0.086,0.139,0,0,0,0.001,0.072,0,0.031,0,0.041,0.022,0.006,0.052,0.003,0.018,0.035,0.015,0.048,0.07,0.001,0.002,0.043,0.001,0.006,0.001,0.066,0.001,0.001,0.009,0,0,0.001,0.001,0.001,0,0.003,0,0,0.004,0.002,0,0.001,0,0,0,33.338
S662,1.975,0.223,1.101,0.678,0.081,0.375,0.152,1.233,0.162,0.053,0.114,0.136,0,0.314,0.151,0.142,0.305,0.039,0.295,0.227,0.129,0.001,0.008,0.031,0.054,0.022,0.338,0.088,0.001,0.006,0,0.078,0,0,0.357,0.047,0.213,0.023,1.799,0.094,0.036,0.113,0.94,0.119,0.016,5.278,0,0.004,0.356,0,0,0.041,0.186,3.944,0.001,0.694,0.912,0.007,0,0.001,0.005,0.031,0,0.001,0,0,1.268,0.421,2.551,1.153,2.627,3.565,0.004,0.069,9.001,1.055,1.912,0.029,0.032,9.207,0.055,0.003,3.229,0.163,0.04,0,5.849,0,0.57,0.443,9.77,0,0.001,0.245,0.091,0.172,10.54,0,0,0.138,0.139,0.001,0.001,3.308,19.243,1.252,0.291,5.37,0.173,0.853,2.587,1.321,1.17,0.26,2.41,0,0.026,0.538,0.005,1.422,7.196,0.005,0.009,0.014,9.261,0.063,0,2.728,2.048,0.002,0,0.001,0.068,1.042,0.001,0.819,0,1.023,0.528,0.201,0.906,0.053,0.13,0.62,0.151,0.249,1.55,0.047,0.013,0.612,0.001,0.063,0.001,0.746,0.001,0.032,0.192,0.05,0,0.035,0.026,0.04,0,0.068,0.003,0.012,0.01,0.046,0,0,0,0.004,0.001,158.975
S663,2.577,0.33,1.62,1.04,0.133,0.587,0.225,1.958,0.246,0.083,0.21,0.216,0,0.549,0.252,0.226,0.489,0.059,0.491,0.37,0.224,0,0.009,0.049,0.092,0.036,0.574,0.142,0.001,0.01,0,0.136,0,0,0.675,0.087,0.353,0.039,3.351,0.173,0.055,0.223,1.631,0.218,0.027,9.287,0.001,0.005,0.681,0.002,0,0.069,0.361,7.707,0.087,1.246,1.789,0.021,0,0.005,0.012,0.055,0,0.001,0,0,2.311,0.91,5.066,2.235,4.997,6.886,0.01,0.157,18.084,2.094,3.682,0.066,0.052,17.858,0.104,0.017,6.231,0.328,0.078,0,10.25,0.001,1.04,0.859,18.336,0.001,0.001,0.425,0.072,0.34,19.47,0,0,0.255,0.255,0.001,0.001,5.349,30.716,1.944,0.45,8.723,0.273,1.443,4.255,2.287,1.891,0.42,3.865,0.007,0.042,0.877,0.01,2.28,11.942,0.01,0.016,0.024,14.84,0.106,0,4.505,3.323,0.001,0.001,0,0.106,1.666,0.001,1.325,0.001,1.711,0.863,0.337,1.472,0.084,0.2,1.02,0.235,0.415,2.582,0.075,0.018,0.972,0.002,0.101,0.001,1.172,0,0.048,0.316,0.075,0,0.047,0.039,0.065,0.004,0.122,0.011,0.021,0.024,0.077,0,0.001,0.001,0.003,0.003,278.387
S664,2.357,0.332,1.611,1.003,0.129,0.589,0.224,1.94,0.245,0.078,0.189,0.216,0,0.539,0.238,0.223,0.471,0.061,0.49,0.364,0.212,0.001,0.011,0.051,0.095,0.035,0.585,0.144,0.002,0,0,0.133,0.006,0,0.684,0.091,0.364,0.037,3.542,0.152,0.055,0.231,1.768,0.228,0.034,9.808,0.001,0.002,0.687,0,0,0.073,0.365,7.773,0.083,1.285,1.784,0.001,0,0,0.01,0.054,0,0,0,0,2.221,0.841,4.63,2.054,4.467,6.628,0.013,0.151,16.638,1.897,3.541,0.062,0.055,16.492,0.094,0.006,5.903,0.313,0.072,0,9.708,0.001,0.984,0.778,17.261,0,0.002,0.407,0.096,0.347,18.342,0.001,0,0.238,0.207,0.001,0.004,5.681,32.489,2.057,0.469,9.114,0.288,1.52,4.487,2.346,2.036,0.465,4.067,0.001,0.045,0.931,0.01,2.417,12.509,0.01,0.017,0.025,15.684,0.114,0,4.738,3.474,0.009,0.001,0,0.118,1.787,0,1.4,0.001,1.769,0.9,0.334,1.544,0.094,0.204,1.038,0.245,0.425,2.671,0.086,0.016,1.016,0,0.106,0.003,1.234,0.001,0.049,0.325,0.085,0,0.051,0.042,0.068,0.007,0.119,0.025,0.02,0.022,0.075,0.002,0.002,0.003,0.005,0,277.046
S612,0.6,0.059,0.293,0.197,0.02,0.096,0.04,0.323,0.043,0.016,0.037,0.035,0,0.09,0.055,0.047,0.115,0.016,0.111,0.085,0.051,0,0.002,0.011,0.022,0.008,0.138,0.036,0.001,0.002,0,0.031,0.003,0,0.257,0.016,0.118,0.009,1.281,0.055,0.023,0.075,0.638,0.088,0.007,3.825,0.001,0.002,0.275,0,0,0.023,0.116,2.867,0.03,0.448,0.636,0.004,0.001,0,0.008,0.025,0,0.001,0,0.001,0.927,0.304,1.94,0.911,1.948,2.712,0.008,0.057,6.881,0.799,1.416,0.024,0.019,6.933,0.042,0.002,2.439,0.125,0.033,0,2.719,0.001,0.363,0.306,6.931,0,0.002,0.147,0.034,0.135,6.463,0,0,0.089,0.094,0.001,0.001,0.895,6.782,0.472,0.151,2.524,0.089,0.474,1.561,0.833,0.487,0.153,1.024,0.001,0.016,0.311,0.002,0.681,4.021,0.003,0.005,0.009,4.252,0.039,0,0.589,0.739,0.004,0.001,0,0.02,0.373,0.001,0.227,0,0.203,0.158,0.049,0.285,0.022,0.066,0.192,0.062,0.141,0.375,0.02,0.002,0.231,0.001,0.017,0,0.291,0.001,0.004,0.043,0.01,0,0.004,0.007,0.008,0.001,0.016,0.002,0.004,0.009,0.015,0.001,0.001,0,0,0,87.211
S624,1.163,0.13,0.621,0.424,0.051,0.227,0.081,0.714,0.091,0.032,0.118,0.077,0,0.191,0.133,0.123,0.269,0.037,0.239,0.168,0.105,0,0.006,0.022,0.049,0.021,0.278,0.079,0.001,0.005,0,0.061,0.004,0,0.416,0.04,0.201,0.027,2.403,0.087,0.036,0.138,1.248,0.165,0.015,7.649,0,0,0.397,0.001,0,0.045,0.18,4.953,0.051,0.812,1.043,0.006,0,0.002,0.019,0.041,0,0.001,0.001,0,1.177,0.685,3.309,1.374,3.122,4.137,0.005,0.096,12.394,1.473,2.57,0.053,0.03,12.758,0.075,0.01,4.149,0.228,0.057,0,2.698,0,0.447,0.379,9.857,0,0.001,0.173,0.041,0.208,7.445,0.001,0,0.082,0.117,0,0.001,0.668,5.404,0.406,0.173,2.479,0.088,0.544,1.972,1.229,0.43,0.189,0.895,0,0.013,0.409,0.004,0.655,4.827,0.006,0.011,0.016,3.888,0.06,0,0.383,0.614,0.001,0.001,0,0.013,0.305,0,0.146,0,0.124,0.105,0.03,0.207,0.02,0.062,0.131,0.041,0.142,0.235,0.012,0.002,0.165,0.001,0.011,0,0.217,0,0.005,0.023,0.003,0,0.008,0.001,0.011,0,0.017,0.001,0.001,0.004,0.012,0,0.001,0.001,0,0.001,122.078
S626,1.218,0.137,0.623,0.398,0.048,0.215,0.083,0.695,0.095,0.032,0.068,0.077,0,0.193,0.129,0.114,0.259,0.034,0.222,0.172,0.093,0,0.005,0.024,0.046,0.018,0.277,0.075,0,0.003,0,0.059,0.004,0,0.389,0.041,0.197,0.018,2.189,0.108,0.042,0.125,1.13,0.14,0.009,6.81,0.001,0.001,0.371,0,0.001,0.036,0.172,4.644,0.055,0.78,0.994,0.003,0,0,0.011,0.043,0,0.001,0,0,1.251,0.602,3.513,1.449,3.266,4.332,0.002,0.109,12.256,1.517,2.523,0.041,0.043,12.874,0.076,0.005,4.17,0.264,0.065,0.001,2.94,0,0.463,0.399,10.539,0.001,0.004,0.179,0.056,0.217,8.015,0,0,0.106,0.128,0,0.001,0.821,6.127,0.44,0.193,2.625,0.091,0.576,2.02,1.241,0.487,0.195,0.969,0,0.016,0.418,0.007,0.696,4.975,0.008,0.01,0.015,4.174,0.06,0,0.492,0.667,0.001,0.001,0,0.012,0.327,0,0.185,0,0.164,0.133,0.036,0.253,0.022,0.069,0.154,0.059,0.138,0.305,0.009,0.002,0.199,0.002,0.022,0,0.255,0,0.005,0.034,0.011,0,0.001,0.006,0.011,0,0.018,0,0,0.004,0.018,0.001,0.001,0,0.002,0.001,124.924
S635,3.504,0.576,3.033,1.824,0.239,1.154,0.413,3.876,0.436,0.137,0.456,0.501,0,1.302,0.597,0.504,1.064,0.139,1.191,0.92,0.547,0,0.025,0.128,0.23,0.087,1.447,0.348,0,0.024,0,0.37,0,0,1.964,0.269,1.085,0.111,9.671,0.394,0.157,0.616,4.769,0.566,0.069,27.824,0.003,0.001,2.009,0.001,0,0.188,1.108,22.604,0.236,3.74,5.359,0.047,0,0.013,0.036,0.153,0.001,0.002,0,0,5.705,2.139,13.109,5.715,12.721,16.831,0.032,0.361,46.115,5.578,9.054,0.208,0.156,44.468,0.249,0.03,16.619,0.861,0.209,0.001,24.863,0,2.533,2.004,46.285,0,0.007,1.045,0.411,0.927,47.134,0.001,0,0.631,0.599,0.002,0.002,14.571,82.616,5.305,1.256,23.354,0.754,3.857,11.693,6.393,5.034,1.212,10.451,0.003,0.201,2.376,0.026,5.994,32.2,0.023,0.047,0.064,39.962,0.302,0,12.434,8.93,0.044,0.002,0,0.298,4.399,0,3.619,0.001,4.621,2.356,0.832,3.905,0.207,0.527,2.593,0.612,1.073,6.974,0.211,0.049,2.561,0.003,0.273,0.003,3.135,0.003,0.13,0.863,0.223,0,0.11,0.111,0.151,0.011,0.262,0.057,0.043,0.052,0.191,0.004,0.019,0.006,0.013,0.002,724.281
S634,0.933,0.111,0.522,0.334,0.039,0.178,0.069,0.594,0.079,0.026,0.058,0.061,0,0.153,0.132,0.111,0.263,0.03,0.243,0.176,0.11,0,0.004,0.025,0.047,0.018,0.363,0.075,0,0.008,0,0.107,0.011,0.001,0.891,0.049,0.43,0.006,6.495,0.157,0.056,0.238,3.15,0.336,0.021,21.367,0,0.002,1.103,0.001,0,0.057,0.513,15.229,0.134,2.145,2.954,0.01,0.001,0.003,0.005,0.082,0.001,0.001,0.001,0.001,3.258,1.386,8.465,3.982,8.773,12.468,0.017,0.258,36.025,3.748,7.089,0.101,0.102,34.55,0.182,0.012,12.482,0.645,0.162,0.001,7.149,0.002,1.247,1.055,29.745,0.001,0.003,0.479,0.093,0.659,21.163,0.001,0,0.234,0.276,0.001,0.002,1.92,14.961,1.096,0.537,7.173,0.24,1.692,5.686,3.625,1.217,0.598,2.508,0.01,0.043,1.221,0.017,1.849,14.661,0.018,0.03,0.046,11.279,0.173,0,0.945,1.625,0.005,0.001,0.001,0.032,0.782,0,0.36,0,0.278,0.28,0.077,0.504,0.044,0.172,0.336,0.129,0.367,0.536,0.034,0.006,0.432,0.001,0.048,0.002,0.54,0.003,0.007,0.058,0.013,0,0.008,0.004,0.015,0,0.014,0.001,0.001,0.007,0.017,0.001,0.001,0,0,0.001,334.421
